Experiment 3: Feature-Level Analysis Results (Wikitext-2 Scan)
============================================================

 Layer |  Feature |    Max Act |    Score | Top Token
-----------------------------------------------------------------
    20 |       40 |    6336.00 |     3.49 |  cons
    20 |      985 |    6016.00 |     2.52 |  dem
    21 |      132 |    5824.00 |     2.26 |  Bul
    22 |       69 |    5632.00 |     2.05 |  unt
    20 |     1904 |    5504.00 |     3.44 |  Mir
    17 |      499 |    5440.00 |     3.43 |  of
    20 |      318 |    5120.00 |     3.68 |  Pl
    21 |      948 |    5024.00 |     2.96 |  unf
    22 |     2932 |    5024.00 |     2.00 |  Simon
     8 |     3773 |    4960.00 |     0.76 |  
    22 |     1083 |    4864.00 |     1.69 |  dem
    19 |     1902 |    4800.00 |     1.25 |  (
     9 |     4284 |    4736.00 |     0.47 |  
    19 |     2087 |    4704.00 |     4.05 |  ref
    20 |     1674 |    4672.00 |     1.99 |  Bul
    18 |     1099 |    4640.00 |     4.21 |  Her
    19 |     9432 |    4544.00 |     3.15 |  Mort
    24 |     8367 |    4544.00 |     0.59 |  Royal
    13 |      878 |    4512.00 |     1.45 |  .
    20 |     9394 |    4480.00 |     3.22 |  Krist
    23 |     8102 |    4480.00 |     0.20 | 0
    17 |     2347 |    4416.00 |     2.36 |  United
    17 |     5554 |    4416.00 |     1.47 |  Boul
    20 |      103 |    4416.00 |     4.55 |  re
    19 |     2529 |    4384.00 |     3.76 |  Rob
    22 |      494 |    4384.00 |     1.95 |  Ind
    22 |     1758 |    4384.00 |     1.66 |  ha
    19 |     1196 |    4256.00 |     3.49 |  Hy
    21 |      424 |    4192.00 |     2.57 |  met
    19 |      378 |    4160.00 |     3.76 |  O
    23 |      115 |    4096.00 |     0.32 |  well
    20 |      870 |    4032.00 |     3.07 |  Eng
    19 |     4159 |    4016.00 |     3.21 |  Hu
    25 |      162 |    4016.00 |     0.00 | 0
     9 |     2536 |    3984.00 |     0.40 |  .
    20 |     5125 |    3952.00 |     3.52 |  rep
    19 |      258 |    3936.00 |     2.46 |  previous
    18 |     1569 |    3920.00 |     3.57 |  Robert
    18 |     6779 |    3920.00 |     4.78 |  Royal
    19 |     4529 |    3920.00 |     2.52 |  dem
    16 |     3264 |    3904.00 |     3.37 |  '
    20 |     4959 |    3904.00 |     3.69 |  Der
    20 |     6549 |    3904.00 |     2.47 |  Tam
    21 |     1894 |    3904.00 |     2.51 |  Hu
    21 |       18 |    3856.00 |     2.58 |  Bob
    24 |     1226 |    3856.00 |     0.46 |  un
    21 |      368 |    3824.00 |     2.02 |  R
     7 |      426 |    3808.00 |     0.18 | ter
    18 |     3663 |    3744.00 |     3.71 |  Ind
    23 |       73 |    3744.00 |     0.98 |  She
    19 |     4185 |    3728.00 |     2.07 |  Du
    20 |     5863 |    3712.00 |     2.70 |  Palm
    18 |     1978 |    3680.00 |     1.00 | oh
    21 |      183 |    3680.00 |     2.33 |  
    21 |     1795 |    3680.00 |     2.23 |  sol
    10 |      133 |    3664.00 |     1.33 |  
    23 |     1436 |    3664.00 |     0.94 |  esc
    18 |      229 |    3648.00 |     2.80 | az
    11 |       75 |    3632.00 |     3.72 |  .
    22 |      435 |    3616.00 |     1.58 |  Che
    22 |      542 |    3616.00 |     1.35 |  Tam
    19 |     3711 |    3600.00 |     1.73 |  Bul
    20 |      265 |    3600.00 |     3.02 |  mill
    20 |     4017 |    3600.00 |     2.28 |  Tur
    17 |     9951 |    3584.00 |     4.41 |  Grand
    21 |       13 |    3584.00 |     3.22 |  N
    21 |      198 |    3584.00 |     3.28 | <bos>
    18 |     8436 |    3568.00 |     3.94 |  Ke
    22 |      117 |    3568.00 |     0.55 |  
    18 |     4578 |    3552.00 |     1.00 |  Reg
    19 |     9120 |    3552.00 |     2.34 |  .
    23 |     7033 |    3552.00 |     0.97 |  Palm
    19 |     7090 |    3536.00 |     4.04 | s
    18 |      548 |    3520.00 |     3.26 |  esc
    18 |     1060 |    3520.00 |     1.77 |  Lake
    23 |      415 |    3520.00 |     1.04 |  Rob
    17 |      119 |    3488.00 |     2.03 |  more
    19 |     7614 |    3488.00 |     3.45 | ac
    24 |     1333 |    3488.00 |     0.54 |  ref
    24 |     5633 |    3488.00 |     0.55 |  cons
    21 |      224 |    3472.00 |     3.56 |  K
     9 |     3430 |    3456.00 |     0.58 |  
    22 |     2599 |    3456.00 |     1.55 |  ref
     8 |     3424 |    3424.00 |     0.69 |  
    17 |     6779 |    3424.00 |     3.01 |  Simon
    20 |     7350 |    3424.00 |     2.60 |  Mort
    23 |      116 |    3424.00 |     1.07 |  Col
    16 |      733 |    3408.00 |     3.60 |  Pl
    19 |     1072 |    3392.00 |     4.58 |  un
     9 |     5865 |    3360.00 |     0.86 |  .
    18 |       89 |    3360.00 |     3.60 |  Mir
    18 |     4428 |    3360.00 |     3.12 |  bulk
    21 |     8488 |    3360.00 |     2.06 |  Sat
    17 |     7013 |    3344.00 |     2.87 |  reg
    20 |     1750 |    3344.00 |     2.82 |  Chang
    23 |     1039 |    3344.00 |     1.19 |  F
    18 |     1392 |    3328.00 |     2.88 |  guest
    19 |     6150 |    3328.00 |     3.93 |  pont
    21 |     1240 |    3328.00 |     2.41 |  Du
    23 |      172 |    3312.00 |     1.05 |  St
    17 |       33 |    3296.00 |     3.21 |  series
    20 |     3121 |    3296.00 |     1.97 |  series
    22 |     2691 |    3296.00 |     2.15 |  Her
    23 |     3272 |    3296.00 |     0.79 |  Sat
    16 |     2361 |    3280.00 |     2.01 |  record
    18 |     3916 |    3280.00 |     1.40 |  at
    17 |       64 |    3264.00 |     4.20 |  Hot
    18 |      157 |    3264.00 |     2.89 |  dem
    20 |     5350 |    3264.00 |     2.83 |  barb
    13 |     1698 |    3232.00 |     4.37 |  .
    23 |     8761 |    3232.00 |     0.93 |  unt
    24 |      164 |    3216.00 |     0.34 | 0
    16 |     5139 |    3200.00 |     2.52 |  Judge
    17 |     5928 |    3200.00 |     2.09 |  sol
    19 |      227 |    3200.00 |     1.21 | 3
    19 |     5387 |    3200.00 |     1.70 |  and
    22 |      834 |    3184.00 |     1.75 |  Sav
    24 |     6531 |    3184.00 |     0.10 |  well
     8 |     4522 |    3168.00 |     0.52 |  
    17 |      375 |    3168.00 |     2.77 |  Long
    17 |      437 |    3168.00 |     2.93 |  light
    18 |      111 |    3168.00 |     1.39 |  years
    18 |     3798 |    3168.00 |     5.07 |  Grand
    18 |     4830 |    3168.00 |     0.99 |  Du
    18 |     6331 |    3168.00 |     3.16 |  ha
    19 |      449 |    3168.00 |     2.87 |  dissip
    20 |     1811 |    3168.00 |     2.16 |  She
    17 |       52 |    3152.00 |     6.39 |  at
    22 |     3329 |    3152.00 |     1.76 | ter
    16 |      300 |    3136.00 |     3.01 |  It
    18 |      334 |    3136.00 |     1.65 | ric
    22 |     3524 |    3136.00 |     1.86 |  reg
    22 |     6355 |    3136.00 |     1.58 |  Krist
    17 |      245 |    3104.00 |     3.61 |  Ke
    18 |     2310 |    3104.00 |     3.82 |  West
    20 |       88 |    3104.00 |     2.76 | 0
    21 |      863 |    3104.00 |     2.51 |  Su
    23 |     3653 |    3104.00 |     0.67 | 9
    25 |      325 |    3104.00 |     0.00 |  M
    19 |      735 |    3088.00 |     1.44 |  took
    17 |      255 |    3072.00 |     1.87 |  base
    18 |     2059 |    3072.00 |     3.76 | \n\n
    18 |     2969 |    3072.00 |     2.54 |  Che
    19 |     6316 |    3072.00 |     3.35 |  Ned
    23 |      452 |    3056.00 |     0.96 |  pont
    17 |       38 |    3040.00 |    14.06 |  F
    17 |     2967 |    3040.00 |     3.31 |  oil
    18 |      218 |    3024.00 |     4.66 |  New
    18 |     3879 |    3024.00 |     0.83 | 7
    21 |     4910 |    3024.00 |     0.79 | 1
    23 |      150 |    3008.00 |     0.99 |  Al
    17 |     1048 |    2976.00 |     7.59 | 9
    18 |     1703 |    2976.00 |     1.02 | 1
    18 |     6182 |    2976.00 |     3.75 |  met
     7 |      216 |    2960.00 |     0.37 |  .
     7 |     4638 |    2960.00 |     0.44 | \n\n
    19 |      191 |    2960.00 |     4.03 |  rep
    21 |      479 |    2960.00 |     2.26 |  Tam
    21 |     9877 |    2960.00 |     2.34 |  Tru
    17 |     4929 |    2944.00 |     1.57 |  pre
    19 |     5672 |    2944.00 |     2.56 |  mill
    10 |       78 |    2928.00 |     1.93 |  
    16 |      415 |    2928.00 |     3.21 |  All
    18 |     4391 |    2928.00 |     1.47 |  cons
     8 |     5612 |    2912.00 |     0.78 |  the
    16 |      239 |    2912.00 |     4.02 |  /
    19 |     1037 |    2912.00 |     3.21 |  Et
    22 |     6990 |    2912.00 |     1.25 |  Ke
    23 |     1021 |    2912.00 |     0.86 |  Long
    18 |      874 |    2896.00 |     2.68 |  The
    21 |      180 |    2896.00 |     2.86 |  W
    23 |      789 |    2896.00 |     0.84 |  Tam
    18 |     5136 |    2880.00 |     3.84 |  Vice
    19 |     9832 |    2880.00 |     4.56 |  African
    22 |      136 |    2880.00 |     0.48 | ips
