Experiment 4: Layer Distance Analysis Results
==================================================

  Distance |    Mean Norm |        Std
----------------------------------------
         0 |       0.3783 |     0.1692
         1 |       0.1957 |     0.0990
         2 |       0.1673 |     0.0861
         3 |       0.1499 |     0.0801
         4 |       0.1378 |     0.0772
         5 |       0.1301 |     0.0745
         6 |       0.1235 |     0.0719
         7 |       0.1177 |     0.0701
         8 |       0.1137 |     0.0671
         9 |       0.1110 |     0.0649
        10 |       0.1081 |     0.0653
        11 |       0.1077 |     0.0661
        12 |       0.1093 |     0.0692
        13 |       0.1110 |     0.0712
        14 |       0.1120 |     0.0713
        15 |       0.1111 |     0.0701
        16 |       0.1105 |     0.0681
        17 |       0.1091 |     0.0675
        18 |       0.1036 |     0.0666
        19 |       0.0949 |     0.0604
        20 |       0.0866 |     0.0548
        21 |       0.0764 |     0.0491
        22 |       0.0666 |     0.0433
        23 |       0.0578 |     0.0410
        24 |       0.0500 |     0.0324
        25 |       0.0460 |     0.0270
