Experiment 5 Results
Avg Logit Sim: -0.003
Same Prediction: 0/100

Top 20 Features:
L0->L14 | Sim: -0.091 | ''y'' vs ''<unused62>''
L8->L18 | Sim: 0.014 | '' classification'' vs ''ording''
L4->L17 | Sim: 0.100 | ''�'' vs ''दाता''
L8->L21 | Sim: -0.050 | ''�'' vs ''мун''
L8->L20 | Sim: 0.013 | '' darn'' vs '' σαν''
L8->L19 | Sim: 0.084 | ''�'' vs '"'}}"'
L8->L13 | Sim: 0.028 | ''�'' vs '' Reader''
L0->L17 | Sim: -0.055 | '' Allies'' vs '' Categor''
L8->L18 | Sim: 0.062 | '' 今'' vs '' सर्वा''
L4->L19 | Sim: -0.106 | ''<unused984>'' vs '' Kelas''
L8->L23 | Sim: 0.052 | '' storica'' vs '' سنا''
L8->L19 | Sim: 0.006 | ''<unused62>'' vs '' effets''
L8->L18 | Sim: -0.062 | ''<unused984>'' vs ''太''
L8->L21 | Sim: 0.073 | '" '*"' vs ''尻''
L8->L17 | Sim: 0.020 | ''�'' vs ''Schw''
L8->L21 | Sim: -0.044 | ''�'' vs ''၂''
L8->L23 | Sim: 0.061 | ''ট্টগ্রাম'' vs ''之下''
L8->L19 | Sim: -0.128 | ''iese'' vs ''<unused984>''
L8->L20 | Sim: 0.052 | ''<unused62>'' vs ''ွက်''
L8->L21 | Sim: -0.090 | ''<unused984>'' vs ''オン''
