Experiment 7: Downstream Component Targeting Results
============================================================

[NULL BASELINE (Random Vectors)]
  MLP: mean=0.1101, p95=0.1276, p99=0.1378
  Attn Q: mean=0.3492, p95=0.4406, p99=0.4772

[CROSS-LAYER VECTORS]
  MLP mean: 0.1149
  MLP above null 95th: 97/1000 (9.7%)
  MLP above null 99th: 41/1000 (4.1%)

  Attn Q mean: 0.3775
  Attn Q above null 95th: 195/1000 (19.5%)
  Attn Q above null 99th: 133/1000 (13.3%)

[Top MLP Targeters]
  L8->L22 | Feat 9815 | Sim: 0.450 | Neuron 3366
  L3->L18 | Feat 443 | Sim: 0.426 | Neuron 746
  L8->L17 | Feat 8235 | Sim: 0.400 | Neuron 2418
  L8->L13 | Feat 369 | Sim: 0.372 | Neuron 1044
  L8->L18 | Feat 1066 | Sim: 0.338 | Neuron 4239
  L8->L23 | Feat 2999 | Sim: 0.333 | Neuron 570
  L8->L19 | Feat 703 | Sim: 0.326 | Neuron 6367
  L8->L14 | Feat 327 | Sim: 0.291 | Neuron 1022
  L8->L17 | Feat 2075 | Sim: 0.288 | Neuron 6884
  L8->L14 | Feat 896 | Sim: 0.280 | Neuron 1580
  L4->L13 | Feat 4337 | Sim: 0.235 | Neuron 4332
  L4->L17 | Feat 3127 | Sim: 0.235 | Neuron 1598
  L8->L17 | Feat 3009 | Sim: 0.225 | Neuron 5180
  L8->L16 | Feat 739 | Sim: 0.201 | Neuron 206
  L8->L17 | Feat 153 | Sim: 0.198 | Neuron 4796
  L4->L15 | Feat 773 | Sim: 0.197 | Neuron 5122
  L8->L15 | Feat 7919 | Sim: 0.187 | Neuron 1820
  L8->L18 | Feat 8787 | Sim: 0.179 | Neuron 738
  L8->L17 | Feat 237 | Sim: 0.163 | Neuron 6067
  L0->L17 | Feat 8312 | Sim: 0.162 | Neuron 1004
  L10->L17 | Feat 116 | Sim: 0.162 | Neuron 2474
  L8->L13 | Feat 8339 | Sim: 0.160 | Neuron 4269
  L4->L20 | Feat 2871 | Sim: 0.159 | Neuron 6719
  L8->L18 | Feat 1416 | Sim: 0.153 | Neuron 4699
  L8->L20 | Feat 6502 | Sim: 0.150 | Neuron 3887
  L4->L18 | Feat 7140 | Sim: 0.147 | Neuron 3425
  L8->L15 | Feat 9390 | Sim: 0.145 | Neuron 2095
  L8->L19 | Feat 8815 | Sim: 0.144 | Neuron 6091
  L8->L12 | Feat 2031 | Sim: 0.143 | Neuron 6091
  L4->L17 | Feat 483 | Sim: 0.143 | Neuron 3058
  L8->L20 | Feat 6560 | Sim: 0.143 | Neuron 5134
  L8->L17 | Feat 9794 | Sim: 0.142 | Neuron 6141
  L8->L16 | Feat 550 | Sim: 0.142 | Neuron 3746
  L4->L19 | Feat 2958 | Sim: 0.141 | Neuron 705
  L4->L17 | Feat 352 | Sim: 0.140 | Neuron 1481
  L8->L13 | Feat 3035 | Sim: 0.140 | Neuron 3400
  L8->L14 | Feat 1114 | Sim: 0.140 | Neuron 4122
  L4->L20 | Feat 9811 | Sim: 0.139 | Neuron 2244
  L6->L17 | Feat 665 | Sim: 0.139 | Neuron 6803
  L8->L23 | Feat 10006 | Sim: 0.138 | Neuron 913
  L8->L21 | Feat 6808 | Sim: 0.138 | Neuron 4871
